battery_id,cycle_number,SOH,RUL_cycles,health_class,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
B0005,1,0.9282437104090786,167,Healthy,-3.231000333631588,0.8857506843443598,1.3571748439782199,-6.982016141966178,0.7681137434717066,1.6936228932462332,-0.6353791186217336,0.8198925597047616,0.9190166577993197,0.09672388299334723,0.08531081901345774,0.898857714011883,0.20706420273751222,-1.5809543955816165,0.3245079167865482,-0.1926756569532944
B0005,2,0.9231636248599636,166,Healthy,-3.3527617624007906,1.2881734992598055,1.330301671983389,-6.656422742143508,1.0053393744855332,2.7529308499670906,-1.0428765169885654,0.12593154458775088,0.3100450958096502,0.18875519213743994,-0.06759272931770507,1.001976976079383,0.9683489459644705,-0.28473993186024166,-0.1974449735310141,-0.17825436527814936
B0005,3,0.917674597111704,165,Healthy,-3.361312357600714,1.0940055206304005,1.3500293069046505,-6.771523760571905,1.0862972570622553,2.269616842252934,-0.8737854325965668,0.4055727217811919,0.5852160602845486,0.09860167859021098,0.025864259716187287,0.9762573585317563,0.6219103956374377,-0.842152936222456,-0.23097814395962166,-0.20559963008003598
B0005,4,0.9176312637910564,164,Healthy,-3.285214586829557,1.048204580887804,1.347363134242478,-6.86225525874529,0.9436783954974811,2.0922441218818313,-0.7952314484622958,0.5080316739876723,0.6730830661323361,0.09714231920152101,0.008247337010149876,0.9328432072714884,0.4860230725353314,-0.9663575760649681,0.0853332557597945,-0.18775372347030495
B0005,5,0.9173227541060208,163,Healthy,-3.06653664686755,0.8995743526727653,1.440660794551205,-7.12610131383061,0.6201686870504969,1.2172656337043817,-0.4202968609802953,1.1501702424771028,1.1536028019822342,-0.056927498004325595,0.009196025110164452,1.0195931512993643,0.03292826669191973,-2.083936686643011,1.3629668668560138,-0.14064475416618957
B0005,6,0.9178308300337746,162,Healthy,-3.125521938340718,1.1016583495921657,1.389285827762895,-6.951875447729192,0.6663460947281221,1.8027306520162378,-0.6461942545147095,0.7626494145838764,0.831154571025682,0.06151600357508116,-0.00012678549771663226,1.0640228834945207,0.3968169894424498,-1.330986476981587,0.9140730849399936,-0.14116301975762544
B0005,7,0.9175730714613302,161,Healthy,-3.1830588649616502,1.1655552657129984,1.3063862480601098,-6.862521377567234,0.7254629614413508,2.2038492798718474,-0.8166335801355705,0.47836281328716956,0.6170259912638301,0.13808063660193448,-0.03297877499481964,0.9477014317167093,0.5321055023521658,-0.7138183319598064,0.3440134805339526,-0.1575362096849801
B0005,8,0.9128783952832767,160,Healthy,-3.50815895003757,1.218214738614025,1.309343249767889,-6.578445463351422,1.3849977390484132,2.958906309176261,-1.1708419426848689,-0.14285799214235784,0.21565474889526817,0.23557731599513115,-0.13077923929346716,0.9164979359234183,1.103698158276167,0.17769390872665866,-0.9306691374217104,-0.21651815821045287
B0005,9,0.9123869264945668,159,Healthy,-3.27106086096565,1.3606449119235173,1.5058963706266295,-6.687615290053271,1.0562769719560086,2.518074492295547,-0.9274783623144132,0.24009049137647548,0.43141489937668254,0.09230217086751308,-0.257247703230613,1.3062656181622128,1.2279010807997806,-0.5874403145029088,0.9911220592133875,-0.10696955694609957
B0005,10,0.912306634248468,158,Healthy,-3.1350683778176727,1.0102393847009112,1.4756838873866411,-7.005143459554846,0.7763606386618047,1.6177547137702628,-0.5839730609200297,0.788209529627425,0.9336798702049037,0.04194331909402876,-0.09022338085416952,1.1179488077016488,0.4359925852823029,-1.482298917638369,1.2770072946755715,-0.12278645976555483
B0005,11,0.9123097763432252,157,Healthy,-3.168290064135794,1.0263281677727976,1.3682617382634639,-6.966066734295054,0.7548333566813612,1.9956712549370867,-0.746615389771424,0.47563131283381577,0.7230230676889071,0.14395413649301325,-0.11265634128756298,0.9223978112513304,0.48656253459396315,-0.78672892056319,0.6948585192085297,-0.13629252941362485
B0005,12,0.907100967883696,156,Healthy,-3.405853402268796,1.0400352367147765,1.407878781886405,-6.766926757355682,1.2547620241373514,2.3843147850577866,-0.9406914266126619,0.1316024362164074,0.5258017504337715,0.2086538426942775,-0.10618356370047337,0.9995744320270631,0.8549161409432656,-0.4051050327012151,-0.16248498789451227,-0.18512743480158086
